Resting_ECG,Resting_PPG,Resting_GSR
-0.07200000000000001,0.004,2.017
-0.08800000000000001,0.065,2.017
-0.11,0.29600000000000004,2.0180000000000002
-0.092,0.83,2.02
-0.069,1.78,2.02
-0.079,3.221,2.02
-0.10400000000000001,5.182,2.02
-0.086,7.643,2.022
-0.055,10.545,2.022
-0.059000000000000004,13.796,2.022
-0.07400000000000001,17.28,2.022
-0.083,20.872,2.023
-0.067,24.445999999999998,2.024
-0.038,27.883000000000003,2.024
-0.063,31.078000000000003,2.024
-0.067,33.946,2.025
-0.059000000000000004,36.427,2.026
-0.04,38.481,2.026
-0.049,40.093,2.026
-0.052000000000000005,41.269,2.0269999999999997
-0.05,42.033,2.028
-0.034,42.423,2.028
-0.035,42.486999999999995,2.028
-0.045,42.283,2.028
-0.035,41.869,2.03
-0.023,41.303000000000004,2.03
-0.023,40.641,2.03
-0.032,39.934,2.03
-0.039,39.225,2.031
-0.023,38.551,2.031
-0.015,37.938,2.031
-0.019,37.405,2.031
-0.028999999999999998,36.964,2.032
-0.033,36.619,2.033
-0.017,36.368,2.032
-0.017,36.205,2.032
-0.027000000000000003,36.118,2.033
-0.023,36.096,2.0340000000000003
-0.011000000000000001,36.124,2.0340000000000003
-0.017,36.188,2.033
-0.018000000000000002,36.274,2.0340000000000003
-0.013999999999999999,36.368,2.035
-0.004,36.461,2.035
0.002,36.544000000000004,2.035
-0.011000000000000001,36.608000000000004,2.035
-0.009000000000000001,36.65,2.036
-0.0,36.667,2.036
0.006999999999999999,36.659,2.036
0.008,36.625,2.036
0.002,36.569,2.036
-0.012,36.493,2.037
0.003,36.4,2.037
0.003,36.295,2.036
0.002,36.181999999999995,2.037
0.006999999999999999,36.065,2.0380000000000003
0.006999999999999999,35.948,2.0380000000000003
0.008,35.833,2.037
0.015,35.723,2.0380000000000003
0.01,35.621,2.039
0.008,35.527,2.039
0.012,35.442,2.0380000000000003
0.006,35.366,2.0380000000000003
0.012,35.3,2.039
0.015,35.242,2.039
0.01,35.192,2.039
0.011000000000000001,35.15,2.039
0.013999999999999999,35.113,2.039
0.012,35.08,2.04
